setId,cardNumber,parallelId,parallelFamily,keywords,odds
2025-26 Topps Basketball,,Golden Mirror Image,Variation,golden mirror|image|ssp|gold foil topps logo|full-bleed,"hobby 1:398; jumbo 1:101; blaster 1:923; mega 1:873; hanger 1:920"
2025-26 Topps Basketball,,Team Color Border,Variation,team color|alternate border,"hobby 1:480; jumbo 1:80; blaster 1:560; mega 1:640"
2025-26 Topps Basketball,,Player Number,Variation,jersey number|number pattern background|hobby exclusive,"hobby 1:5002"
2025-26 Topps Basketball,,Clear,Variation,acetate|/10,"hobby 1:5968; jumbo 1:1518; blaster 1:13852; mega 1:13198"
2025-26 Topps Basketball,,Blackout,Variation,solid black|target black friday|blaster exclusive,"blaster 1:2 packs"
2025-26 Topps Basketball,,Rainbow Foilboard,Base Parallel,foil|rainbow,"hobby 1:11; jumbo 1:5; blaster 1:11; mega 1:9"
2025-26 Topps Basketball,,Holo Foil,Base Parallel,retail exclusive,"blaster 1:11; mega 1:10"
2025-26 Topps Basketball,,Gold,Base Parallel,/2025|gold,"hobby 1:87; jumbo 1:7; blaster 1:62; mega 1:59"
2025-26 Topps Basketball,,Purple Rainbow,Base Parallel,/250|purple rainbow,"hobby 1:69; jumbo 1:18; blaster 1:396; mega 1:377"
2025-26 Topps Basketball,,Blue Rainbow,Base Parallel,/150|blue rainbow,"hobby 1:114; jumbo 1:29; blaster 1:659; mega 1:628"
2025-26 Topps Basketball,,Green Rainbow,Base Parallel,/99|green rainbow,"hobby 1:173; jumbo 1:44; blaster 1:999; mega 1:951"
2025-26 Topps Basketball,,Black,Base Parallel,/68|black|hobby exclusive|jumbo exclusive,"hobby 1:251; jumbo 1:64"
2025-26 Topps Basketball,,Gold Rainbow,Base Parallel,/50|gold rainbow,"hobby 1:341; jumbo 1:87; blaster 1:1977; mega 1:1882"
2025-26 Topps Basketball,,Orange Rainbow,Base Parallel,/25|orange rainbow,"hobby 1:682; jumbo 1:173; blaster 1:3953; mega 1:3763"
2025-26 Topps Basketball,,Wood,Base Parallel,/25|wood,"hobby 1:2387; jumbo 1:606; blaster 1:5535; mega 1:5272"
2025-26 Topps Basketball,,Black Rainbow,Base Parallel,/10|black rainbow,"hobby 1:1705; jumbo 1:433; blaster 1:9881; mega 1:9409"
2025-26 Topps Basketball,,Red Rainbow,Base Parallel,/5|red rainbow,"hobby 1:3410; jumbo 1:866; blaster 1:19762; mega 1:18848"
2025-26 Topps Basketball,,FoilFractor,Base Parallel,1/1|foilfractor|hobby|jumbo,"hobby 1:17098; jumbo 1:4327"
2025-26 Topps Basketball,,First Card,Base Parallel,1/1|production first card,"hobby 1:60270; jumbo 1:15428; blaster 1:139798; mega 1:134180"
2025-26 Topps Basketball,,Platinum Holo Foil,Base Parallel,1/1|retail,"blaster 1:99330; mega 1:95918"
2025-26 Topps Basketball,,Victory,Format Exclusive,ssp|hobby,"hobby 1:22 packs"
2025-26 Topps Basketball,,Sandglitter,Format Exclusive,ssp|jumbo,"jumbo 1:2 packs"
2025-26 Topps Basketball,,Sandglitter Blue,Format Exclusive,ssp|jumbo,"jumbo 1:6 packs"
